,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3403,22230474,Aircon Single room no window  min 3 months,62026104,Fair,Central Region,River Valley,1.29513,103.83542,Private room,22,90,0,,,2,364
3412,22255039,2 Bedroom Serviced Apartment near Queenstown MRT,151196270,Jhian,Central Region,Queenstown,1.29024,103.80672,Entire home/apt,181,89,0,,,45,362
3414,22269600,"BLK205 Jurong East ,one room 800/M, negotiable",162738531,Jane,West Region,Jurong East,1.33687,103.74287,Private room,44,365,0,,,1,365
3427,22317980,Cozy private room,163023572,Ping Jui,North Region,Woodlands,1.43208,103.78838,Private room,150,1,0,,,1,83
3429,22329509,"Central Business District , Big En-Suite Master Rm",32798595,Expats Housing Provider @ Raffles P,Central Region,Downtown Core,1.28185,103.85325,Private room,94,180,0,,,41,365
3430,22329702,Garden Master,163258181,Karen,East Region,Bedok,1.32379,103.91484,Private room,150,90,0,,,5,365
3431,22330042,Cozy studio,163258181,Karen,East Region,Bedok,1.32348,103.91459,Private room,160,90,0,,,5,365
3432,22330144,Star Studio,163258181,Karen,East Region,Bedok,1.32241,103.91374,Private room,160,90,0,,,5,365
3433,22330228,Superior Studio,163258181,Karen,East Region,Bedok,1.32213,103.91398000000001,Private room,181,90,0,,,5,365
3434,22330294,Luxury Studio,163258181,Karen,East Region,Bedok,1.32427,103.91534,Private room,181,90,0,,,5,365
3439,22361966,Rustic Master room at orchard rd,11390076,Tryston,Central Region,Newton,1.30597,103.83847,Private room,90,3,0,,,18,362
3440,22365150,"432 Balestier Road, Singapore 329813",9112230,Gwee,Central Region,Novena,1.32589,103.84966999999999,Private room,25,90,0,,,1,174
3442,22376153,1960s queenbed RmKn @ lavender bugis,8948251,Joey,Central Region,Kallang,1.30863,103.86125,Private room,39,18,0,,,83,335
3452,22457169,3BR Spacious Serviced Apartment near Buona Vista,151196270,Jhian,Central Region,Queenstown,1.30429,103.78408,Entire home/apt,290,89,0,,,45,364
3478,22586858,BUDGET rooms living near  NUS NTU KENT RIDGE AREA,52310102,W3,Central Region,Queenstown,1.28601,103.7858,Private room,67,60,0,,,14,365
3486,22620261,Fun + comfort! Homesharing near Bukit Panjang MRT.,9261752,Vickie,West Region,Bukit Panjang,1.38053,103.76698,Private room,35,180,0,,,1,358
3501,22708024,"Cosy studio near to MRT, Orchard Road",167483159,Ling,Central Region,Rochor,1.3003200000000001,103.84836999999999,Entire home/apt,85,120,0,,,1,331
3503,22709400,"Double Capsule D in Dorm (2 guests), Little India",33539623,Edmund,Central Region,Rochor,1.3090000000000002,103.8507,Shared room,81,1,0,,,9,365
3507,22720008,Downtown Queenbed Room891 @ Chinatown (3mth+),97878860,Chelsey,Central Region,Outram,1.28518,103.84335,Private room,44,90,0,,,59,365
3517,22760803,"SKYLINE VIEWS FROM LUSH 1-BR, TANJONG PAGAR",138649185,Paridhi,Central Region,Downtown Core,1.27495,103.84485,Entire home/apt,179,30,0,,,76,363
3523,22786686,vista residence 主人房 master room,148212286,Zhou,Central Region,Novena,1.32955,103.84236999999999,Private room,60,60,0,,,2,177
3527,22812459,2 Bedrooms - Fantastic View / near MRT / City,40375333,Walter,Central Region,Geylang,1.31827,103.88212,Private room,65,30,0,,,3,297
3531,22848431,Beautiful big bedroom @ south buona vista,52310102,W3,Central Region,Queenstown,1.28025,103.7868,Private room,64,15,0,,,14,365
3532,22853667,Furnished room with AC & ensuite bathroom,146058722,Heng,Central Region,Geylang,1.31162,103.88994,Private room,50,90,0,,,1,365
3537,22874940,prewar cozy window room > Lavender MRT,97878860,Chelsey,Central Region,Kallang,1.3088600000000001,103.86137,Private room,36,28,0,,,59,320
3539,22890495,Private cozy room,106405559,Catty,Central Region,Bukit Merah,1.28549,103.80991999999999,Private room,50,3,0,,,2,363
3542,22912163,3 Bedroom Premier apartment  along Orchard Road,124516401,Orchard Point,Central Region,Orchard,1.30063,103.84148,Entire home/apt,600,6,0,,,6,358
3544,22918883,"2 BR, COMMONWEALTH QUEENSTOWN",138649185,Paridhi,Central Region,Queenstown,1.30085,103.80067,Private room,301,25,0,,,76,364
3546,22945402,The Club Residences - 1 BR Suite (Monthly Stay),84411185,Darren,Central Region,Southern Islands,1.2499200000000001,103.82441,Entire home/apt,333,25,0,,,6,362
3549,22972833,Serviced Apartment in CBD (Chinatown),50034878,David,Central Region,Outram,1.28391,103.84379,Entire home/apt,150,90,0,,,1,365
3553,22986772,The Club Residences - 2 BR Suite (Monthly Stay),84411185,Darren,Central Region,Southern Islands,1.24881,103.82364,Entire home/apt,540,30,0,,,6,363
3554,22987047,The Club Residences - 3 BR Suite (Monthly Stay),84411185,Darren,Central Region,Southern Islands,1.24847,103.82389,Entire home/apt,700,30,0,,,6,361
3559,22990388,2 Bedroom Executive 2 bedrooms apartment!,124516401,Orchard Point,Central Region,Orchard,1.30217,103.83957,Entire home/apt,360,6,0,,,6,179
3575,23052237,Spacious and Private 3Bedrm East Coast Apartment,65549406,Jay,East Region,Bedok,1.31382,103.92711,Entire home/apt,99,90,0,,,2,346
3581,23070535,Fireworks view! hiriseEnsuite9 + PrivateLivingRm,8948251,Joey,Central Region,Outram,1.28473,103.84188,Private room,87,90,0,,,83,356
3585,23079638,XY Hotel Bugis - 102 Deluxe BEER,168257708,XY Hotel Bugis,Central Region,Rochor,1.30313,103.85914,Private room,219,1,0,,,15,354
3586,23079689,XY Hotel Bugis - 207 Deluxe BUBBLES,168257708,XY Hotel Bugis,Central Region,Rochor,1.30325,103.85852,Private room,200,1,0,,,15,342
3587,23079719,XY Hotel Bugis - 209 Junior Suite MAP,168257708,XY Hotel Bugis,Central Region,Rochor,1.30473,103.85887,Private room,210,1,0,,,15,346
3590,23079842,XY Hotel Bugis - 202 Superior Double ROOSTER,168257708,XY Hotel Bugis,Central Region,Rochor,1.30467,103.86,Private room,181,1,0,,,15,340
3591,23079869,XY Hotel Bugis - 201 Superior Double PIN-UP GIRL,168257708,XY Hotel Bugis,Central Region,Rochor,1.30376,103.86016,Private room,181,1,0,,,15,332
3592,23079890,XY Hotel Bugis - 105 Standard Twin FENGSHUI COIN,168257708,XY Hotel Bugis,Central Region,Rochor,1.3035299999999999,103.86022,Private room,200,1,0,,,15,322
3594,23079923,XY Hotel Bugis - 103 Standard Twin CHAIR,168257708,XY Hotel Bugis,Central Region,Rochor,1.30356,103.85918000000001,Private room,181,1,0,,,15,320
3597,23080003,XY Hotel Bugis - 206 Suite STONE LION,168257708,XY Hotel Bugis,Central Region,Rochor,1.30534,103.85898,Private room,260,1,0,,,15,349
3599,23080358,Downtown FireworksViewiH Ensuite+livingRm,97878860,Chelsey,Central Region,Outram,1.28538,103.84217,Private room,87,90,0,,,59,356
3603,23083547,"MODERN 2-BR on NEWTON RD, SINGAPORE",138649185,Paridhi,Central Region,Novena,1.31539,103.84226,Entire home/apt,290,3,0,,,76,364
3608,23108965,Fireworks view8! highrise Ensuite,8948251,Joey,Central Region,Outram,1.2838399999999999,103.84199,Private room,60,90,0,,,83,332
3616,23149899,✪1BR Cosy home beside Shaw Plaza (blb),8492007,Alvin,Central Region,Novena,1.3228600000000001,103.85372,Entire home/apt,150,10,0,,,203,365
3624,23224067,Basement studio with bathroom and kitchenette.,86408835,Sharon,Central Region,Queenstown,1.28814,103.77861,Private room,114,90,0,,,1,90
3627,23258478,NEAR TOWN FREE GYM & POOL BOON KENG MRT GIRLS ONLY,80444449,Nancy,Central Region,Novena,1.32198,103.85416,Private room,500,1,0,,,1,364
3635,23285759,Wilkie 3号房,170378301,Mei,Central Region,Rochor,1.30223,103.84862,Private room,68,30,0,,,9,239
3637,23318905,"Holland Village Condo, 1 min walk to MRT",25185912,Rebekah,Central Region,Bukit Timah,1.31281,103.79583000000001,Private room,100,90,0,,,14,364
3638,23329069,prewar2 loftbed room1 > lavender MRT,97878860,Chelsey,Central Region,Kallang,1.30916,103.86332,Private room,36,18,0,,,59,362
3644,23360633,"Holland Village Condo, 1 min away Holland MRT",25185912,Rebekah,Central Region,Bukit Timah,1.31079,103.79717,Private room,100,90,0,,,14,364
3645,23361035,"Holland Village Condo, 1 min to Holland MRT",25185912,Rebekah,Central Region,Bukit Timah,1.3121200000000002,103.79679,Private room,82,28,0,,,14,364
3647,23366776,Cosy studio in Katong,9545702,Christine,Central Region,Marine Parade,1.3060100000000001,103.9057,Private room,50,90,0,,,1,365
3651,23380807,Master Room @ Newton Euro Asia[Newton MRT],32798595,Expats Housing Provider @ Raffles P,Central Region,Novena,1.3150600000000001,103.83968,Private room,58,180,0,,,41,364
3652,23380866,Studio with Balcony (300 sqft),111065775,Abegail,Central Region,River Valley,1.29877,103.83651,Entire home/apt,140,6,0,,,19,300
3664,23456011,Private room and bathroom in penthouse unit,74756401,Nancy,Central Region,Kallang,1.32325,103.86378,Private room,100,30,0,,,1,277
3669,23496793,Entire Condo-Farrer Park/Lavender/Bendemeer MRT,21149720,Mike,Central Region,Kallang,1.311,103.86055999999999,Entire home/apt,194,1,0,,,16,351
3673,23509109,near sengkang,78357301,Jennifer,North-East Region,Sengkang,1.38621,103.89426,Private room,61,90,0,,,2,179
3676,23540390,Homey Place,175863952,Yzsa,North-East Region,Sengkang,1.3896,103.90385,Private room,50,90,0,,,1,179
3688,23613551,Huge Master Room- Local Experience (Near MRT/food),788058,Audrey,Central Region,Toa Payoh,1.34008,103.85213,Private room,50,180,0,,,1,145
3692,23636649,Clean quiet Room place in North Near lots amneties,176907746,Den,North-East Region,Ang Mo Kio,1.37521,103.83625,Private room,56,4,0,,,1,87
3693,23639937,Cozy bedroom with attached bath,121612345,Sachin,Central Region,Queenstown,1.28817,103.79333000000001,Private room,75,93,0,,,1,363
3694,23640612,"WEST COAST DRIVE 2-BR, CLEMENTI",156409670,Rajan,West Region,Clementi,1.3105799999999999,103.76262,Entire home/apt,325,3,0,,,78,355
3695,23641327,Aspen Room in Award Winning Heritage Shophouse,144936523,Fang Ren,Central Region,Geylang,1.31348,103.88446,Private room,119,29,0,,,12,85
3697,23642262,Cedar Room in NYTimes Featured Heritage Home,144936523,Fang Ren,Central Region,Geylang,1.31199,103.883,Private room,135,29,0,,,12,88
3698,23643077,Denya Room in Award Winning Heritage Shophouse,144936523,Fang Ren,Central Region,Geylang,1.31421,103.88472,Private room,140,29,0,,,12,89
3725,23836811,♥♥2BR Aljunied MRT @ Food Heaven Geylang (CH),31464513,Darcy,Central Region,Geylang,1.31521,103.887,Entire home/apt,181,10,0,,,114,23
3727,23862116,Brand New Apartment beside Somerset MRT,25185912,Rebekah,Central Region,Newton,1.30372,103.84057,Private room,87,90,0,,,14,364
3731,23907418,Modern 1 Bedroom Apartment near Queenstown MRT,151196270,Jhian,Central Region,Queenstown,1.2918100000000001,103.80776999999999,Entire home/apt,185,89,0,,,45,364
3732,23907679,1 Bedroom Corporate apartment near Queenstown MRT,151196270,Jhian,Central Region,Queenstown,1.29209,103.80649,Entire home/apt,160,89,0,,,45,365
3733,23907882,2 Bedroom Serviced Apartment near Buona Vista MRT,151196270,Jhian,Central Region,Queenstown,1.30312,103.78355,Entire home/apt,250,89,0,,,45,364
3734,23910504,Single Capsule on Race Course Road,108773366,RedDoorz,Central Region,Rochor,1.30894,103.85195999999999,Shared room,26,1,0,,,109,365
3736,23913821,Room with balcony/view near NUS NTU INSEAD MRT,52310102,W3,Central Region,Queenstown,1.28164,103.7868,Private room,87,3,0,,,14,364
3743,23933653,BALMORAL ROAD,69005937,Keith,Central Region,Newton,1.31344,103.83062,Private room,51,90,0,,,11,365
3745,23947660,Capsule for 1 in hostel in Little India,108773366,RedDoorz,Central Region,Rochor,1.30958,103.85215,Shared room,26,1,0,,,109,365
3757,23952695,2 rooms/4 people near East Coast Park,108773366,RedDoorz,East Region,Bedok,1.30825,103.91294,Private room,169,1,0,,,109,357
3760,23952948,Family Room/3 people near Katong Mall,108773366,RedDoorz,East Region,Bedok,1.30974,103.91282,Private room,144,1,0,,,109,357
3762,23964810,Convenient and quick,43109729,Yin,North Region,Sungei Kadut,1.4055,103.75747,Shared room,290,1,0,,,1,364
3763,23966654,The environment is quiet,119418463,徉,Central Region,Kallang,1.3034700000000001,103.88134000000001,Private room,300,1,0,,,1,365
3765,23968828,You'd like to be quiet,145959309,冉,Central Region,Kallang,1.31198,103.87489000000001,Private room,319,1,0,,,1,365
3766,23969042,Warm and convenient,8294025,Vivianchen,East Region,Bedok,1.31291,103.94232,Private room,300,1,0,,,1,365
3768,23999130,Family Room/3 people near Katong Shopping Centre,108773366,RedDoorz,East Region,Bedok,1.3096,103.91133,Private room,144,1,0,,,109,358
3769,23999201,Family Room/3 people near East Coast Park,108773366,RedDoorz,East Region,Bedok,1.30911,103.91131999999999,Private room,144,1,0,,,109,358
3770,23999281,Twin Room on East Coast Road,108773366,RedDoorz,East Region,Bedok,1.30856,103.91127,Private room,94,1,0,,,109,358
3773,23999901,Twin Room near Katong Shopping Centre,108773366,RedDoorz,East Region,Bedok,1.30835,103.91107,Private room,94,1,0,,,109,358
3774,24000221,Twin Room near East Coast Park,108773366,RedDoorz,East Region,Bedok,1.30998,103.91298,Private room,94,1,0,,,109,357
3779,24000970,3 rooms/6 people on East Coast Road,108773366,RedDoorz,East Region,Bedok,1.3096700000000001,103.91122,Private room,250,1,0,,,109,358
3781,24001052,3 rooms/6 people near Katong Mall,108773366,RedDoorz,East Region,Bedok,1.30966,103.91255,Private room,250,1,0,,,109,357
3783,24002985,3 rooms/6 people near Katong Shopping Centre,108773366,RedDoorz,East Region,Bedok,1.30992,103.91155,Private room,250,1,0,,,109,358
3792,24047492,BALMORAL ROAD,69005937,Keith,Central Region,Newton,1.31308,103.83128,Private room,42,90,0,,,11,365
3798,24075378,A quiet abode,181273553,D,North-East Region,Ang Mo Kio,1.3789200000000001,103.84273,Entire home/apt,169,186,0,,,1,365
3800,24087563,Comfortable Living in the Proximity to the City,28898261,Jake,Central Region,Bukit Merah,1.28569,103.83081999999999,Private room,60,90,0,,,1,313
3805,24114234,45 NEAR PAYA LEBAR SMRT STATION,143675159,Olena,Central Region,Geylang,1.31466,103.88457,Private room,22,1,0,,,1,180
3807,24124147,1 bedroom condo for rent,32184450,Apollo,Central Region,Rochor,1.3012700000000001,103.84680999999999,Entire home/apt,150,45,0,,,67,365
3825,24224508,Gusti Bed & Breakfast - 8 Bed Room (Private),98644049,Gusti,Central Region,Kallang,1.30873,103.86334000000001,Private room,250,1,0,,,5,114
3828,24235192,"The environment is quiet,",163757139,Herman,East Region,Bedok,1.31857,103.91345,Shared room,331,1,0,,,1,365
3832,24240442,"2-BR CLOSE TO CITY CENTRE, ALEXANDRA VIEW",138649185,Paridhi,Central Region,Bukit Merah,1.2912,103.81596,Entire home/apt,260,30,0,,,76,362
3835,24255043,"LUSH 2 BR DERBYSHIRE APARTMENT, NOVENA",138649185,Paridhi,Central Region,Novena,1.3163799999999999,103.84665,Entire home/apt,331,25,0,,,76,364
3836,24256649,"5'MINUTES STROLL TO RAFFLES PLACE, LAVISH 2-BR",138649185,Paridhi,Central Region,Downtown Core,1.28062,103.84854,Entire home/apt,249,30,0,,,76,334
3838,24274708,Big private bed room at train station,114002560,William,Central Region,Kallang,1.3200100000000001,103.8621,Private room,58,1,0,,,4,79
3846,24294350,Superior Room on Jalan Besar,108773366,RedDoorz,Central Region,Kallang,1.3126200000000001,103.85876,Private room,85,1,0,,,109,365
3851,24295516,Superior Room near Lavender Street,108773366,RedDoorz,Central Region,Kallang,1.31471,103.85902,Private room,85,1,0,,,109,365
3855,24300044,Chinatown your9 doorstep: Private Room1,2413412,Kaurus,Central Region,Outram,1.28336,103.84323,Private room,44,90,0,,,112,352
3863,24313547,2 rooms/4 people near City Square Mall,108773366,RedDoorz,Central Region,Kallang,1.31431,103.8591,Private room,169,1,0,,,109,365
3865,24313614,Room in Boutique hotel on Jalan Besar,108773366,RedDoorz,Central Region,Kallang,1.31449,103.86034000000001,Private room,85,1,0,,,109,365
3867,24313723,Room in Boutique hotel near Mustafa Center,108773366,RedDoorz,Central Region,Kallang,1.31273,103.85916,Private room,85,1,0,,,109,365
3868,24313749,Room in Boutique hotel near City Square Mall,108773366,RedDoorz,Central Region,Kallang,1.31392,103.86103,Private room,85,1,0,,,109,365
3869,24313793,Room in Boutique hotel near Serangoon Road,108773366,RedDoorz,Central Region,Kallang,1.31441,103.85928,Private room,85,1,0,,,109,365
3897,24500374,Beautiful and Convenient Condo for Long Term Lease,7345696,Jin Kiat,East Region,Pasir Ris,1.37826,103.94125,Entire home/apt,90,180,0,,,1,362
3898,24503714,YOUNEEDTOSTAYHERE_2 bedroom penthouse-$4500 mthly,32184450,Apollo,Central Region,Kallang,1.32689,103.8671,Entire home/apt,200,25,0,,,67,365
3901,24506349,"1 BR in QUEENSTOWN, PRIME LOCATION IN THE CITY",156409670,Rajan,Central Region,Queenstown,1.2922200000000001,103.80765,Private room,256,3,0,,,78,364
3912,24563870,10 reason to stay-3bedroom condo- purple line mrt,32184450,Apollo,Central Region,Novena,1.32165,103.85186999999999,Entire home/apt,300,19,0,,,67,260
3913,24569607,Aljunied Room1 > MRT 3min > CBD 15 mins,2413412,Kaurus,Central Region,Geylang,1.31385,103.88235,Private room,33,18,0,,,112,310
3918,24585643,3BR @ Bugis Heart of the City (sp),31464513,Darcy,Central Region,Rochor,1.30126,103.85136,Entire home/apt,319,28,0,,,114,362
3919,24585771,3BR Dhoby Ghaut MRT near Bugis (sp),31464513,Darcy,Central Region,Rochor,1.29924,103.85136,Entire home/apt,300,48,0,,,114,362
3924,24594306,Casa Singapura,185853276,Barbarah,Central Region,Downtown Core,1.3003799999999999,103.85786999999999,Entire home/apt,100,90,0,,,1,178
3932,24635669,kAweSome Ensuite 1+1 @ CBD/Chinatown NoWin DL,2413412,Kaurus,Central Region,Outram,1.28395,103.84342,Private room,69,90,0,,,112,356
3936,24643095,Spacious Master Bedroom in New City-Centre Condo,173904781,James,Central Region,Novena,1.31975,103.852,Private room,60,30,0,,,8,300
3937,24643830,Cozy Private Room with Full Condo Facilities,173904781,James,Central Region,Novena,1.3201399999999999,103.85186999999999,Private room,40,30,0,,,8,270
3945,24682695,Premium Room with Balcony in Orchard (300 sqft),111065775,Abegail,Central Region,River Valley,1.29841,103.83705,Private room,139,6,0,,,19,300
3947,24685550,Vik Capsule Suite + Chinatown Subway Station,186576433,Emmanuel,Central Region,Outram,1.28506,103.84347,Entire home/apt,533,1,0,,,1,365
3948,24689171,Cosy Room in Orchard Road Oasis,162089456,Marion,Central Region,Newton,1.30629,103.83798,Private room,65,90,0,,,2,363
3965,24746409,Jurong point master room 高级公寓豪华主人房,109142490,Sandy,West Region,Jurong West,1.34115,103.70638000000001,Private room,92,2,0,,,3,364
3967,24761314,"STUDIO APARTMENT ON SERAYA LANE, EAST SINGAPORE",156409670,Rajan,Central Region,Marine Parade,1.3062,103.89986999999999,Private room,219,3,0,,,78,363
3971,24763572,Deluxe King room near SMU,108773366,RedDoorz,Central Region,Downtown Core,1.29598,103.8534,Private room,125,1,0,,,109,362
3975,24765067,Superior twin room near Singapore Art Museum,108773366,RedDoorz,Central Region,Rochor,1.29816,103.8517,Private room,106,1,0,,,109,364
3976,24765141,Superior twin room near National Library,108773366,RedDoorz,Central Region,Rochor,1.29817,103.85343,Private room,106,1,0,,,109,364
3977,24765195,Superior twin room near SMU,108773366,RedDoorz,Central Region,Rochor,1.29786,103.85125,Private room,135,1,0,,,109,364
3978,24780361,Single Capsule - Female Only,15745786,Quarters,Central Region,Singapore River,1.28849,103.84819,Shared room,69,1,0,,,4,266
3979,24781520,2 Single Capsules - Mixed Dorm,15745786,Quarters,Central Region,Singapore River,1.2883,103.84971,Shared room,140,1,0,,,4,31
3981,24782472,Clarke Quay Pristine Studio Premium Apartment,23336011,Heritage Apartments,Central Region,Singapore River,1.2883200000000001,103.8497,Entire home/apt,160,7,0,,,40,365
3988,24786824,4 Single Capsules - Mixed Dorm,15745786,Quarters,Central Region,Downtown Core,1.2886600000000001,103.84992,Shared room,281,1,0,,,4,31
3989,24787083,Single Capsule - Mixed Dorm,15745786,Quarters,Central Region,Singapore River,1.28651,103.84911,Shared room,60,1,0,,,4,365
3995,24821628,Home Away from Home @Casuarina (Deluxe),70114962,Ngiam,North-East Region,Ang Mo Kio,1.37371,103.82744,Private room,69,7,0,,,2,86
3998,24835791,Master bed in condominium,187757773,Muk,West Region,Bukit Batok,1.35372,103.75294,Private room,100,90,0,,,1,364
3999,24848765,Private Single Room @ Ang Mo Kio (Near MRT),22907669,Yong Han,North-East Region,Ang Mo Kio,1.36935,103.84156999999999,Private room,21,180,0,,,1,185
4004,24874562,City Hall Duplex Skylight Apartment,23336011,Heritage Apartments,Central Region,Downtown Core,1.2969,103.85561,Entire home/apt,165,7,0,,,40,327
4011,24900501,"2 BR MODERN & SPACIOUS, BALESTIER ROAD",156409670,Rajan,Central Region,Novena,1.32305,103.85271999999999,Entire home/apt,299,3,0,,,78,364
4012,24900530,1950s cozy window singlebed room @ lavender,8948251,Joey,Central Region,Kallang,1.31029,103.86155,Private room,36,28,0,,,83,331
4013,24907953,"MINS AWAY FROM ORCHARD, CHIC HOMEY STUDIO",156409670,Rajan,Central Region,Novena,1.32292,103.85292,Private room,142,3,0,,,78,364
4016,24923536,Loft Apartments,184542569,Brian,Central Region,Rochor,1.3115700000000001,103.85423,Entire home/apt,260,1,0,,,3,347
4019,24933790,"LUXURY 3BR WITH OPEN TERRACE, SIMS AVENUE",138649185,Paridhi,Central Region,Geylang,1.31508,103.8882,Entire home/apt,301,3,0,,,76,364
4021,24940113,Accessible  Chic 1BR APT 5 mins from Redhill MRT,66406177,Jay,Central Region,Bukit Merah,1.29005,103.81713,Entire home/apt,204,90,0,,,274,279
4031,24977961,Cosy Room in Central Singapore!,26276079,Justin,Central Region,Queenstown,1.30312,103.7968,Private room,50,181,0,,,2,119
4044,25022657,"LARGE STUDIO APARTMENT, MISTRI ROAD SINGAPORE",156409670,Rajan,Central Region,Downtown Core,1.27465,103.84723000000001,Entire home/apt,179,30,0,,,78,363
4058,25096569,Super High Flr Private Studio near Marinabay Sands,32798595,Expats Housing Provider @ Raffles P,Central Region,Downtown Core,1.2818399999999999,103.85289,Entire home/apt,100,60,0,,,41,365
4069,25183926,En-suites double room in House with services (5),68059127,Wei,East Region,Bedok,1.31673,103.91399,Private room,99,3,0,,,21,343
4070,25184205,En-suites double room in House with services (6),68059127,Wei,East Region,Bedok,1.31869,103.91278,Private room,99,3,0,,,21,337
4074,25214896,Blue Jazz Hostel,105300489,Anna,Central Region,Kallang,1.30935,103.85746999999999,Shared room,300,1,0,,,1,270
4077,25234957,Great peaceful spacious accommodation,182688038,Heri,Central Region,Novena,1.32356,103.85039,Entire home/apt,281,30,0,,,2,362
4079,25269747,Private Room,62243213,Dollz,North-East Region,Ang Mo Kio,1.3688799999999999,103.84629,Private room,550,1,0,,,1,365
4084,25306072,CBD Condo Common Room near Marina One,32798595,Expats Housing Provider @ Raffles P,Central Region,Downtown Core,1.27996,103.85168,Private room,65,60,0,,,41,365
4086,25306664,"CLASSY & COZY, 2 BR IN CLEMENTI",156409670,Rajan,West Region,Clementi,1.31019,103.76278,Entire home/apt,306,3,0,,,78,354
4091,25310826,Unbelievable Breathtaking Water-Serene Condo,519472,Joey,East Region,Tampines,1.34981,103.9269,Entire home/apt,115,90,0,,,1,365
4092,25324517,Ensuite Masterbed Room @ Kent Ridge MRT (NUS)(102),1439258,K2 Guesthouse,Central Region,Queenstown,1.27704,103.78563,Private room,69,5,0,,,32,361
4096,25364632,"Large Private Studio with kitchen,Marina Boulevard",32798595,Expats Housing Provider @ Raffles P,Central Region,Downtown Core,1.28199,103.85305,Entire home/apt,110,40,0,,,41,365
4100,25381551,"Central Area, Big Common room for 6mths rental",182133846,Dear,Central Region,Kallang,1.3202,103.85885,Private room,31,181,0,,,2,191
4102,25399038,Nice Condominium for your visit in Singapore,181538046,Raeynn,North-East Region,Sengkang,1.38014,103.89863000000001,Private room,49,3,0,,,1,88
4106,25440553,"One single bed room for rent, 3 months minimum",50262492,Walter,Central Region,Bishan,1.3536299999999999,103.83469000000001,Private room,40,91,0,,,2,179
4109,25468316,Common Room For Rent,189630854,Iana,North Region,Woodlands,1.44328,103.79239,Private room,90,2,0,,,2,365
4115,25521590,"Resort style home - beautiful, relaxing, and cosy!",192595419,Vivian,North Region,Yishun,1.43749,103.83001,Entire home/apt,68,90,0,,,1,304
4116,25546483,"Value deal, Studio condo at east coast road.",192744736,Padmini,East Region,Bedok,1.31469,103.93182,Entire home/apt,75,90,0,,,1,90
4117,25556050,Spacious location in the heart of the city,126092431,Zhe Ying,Central Region,Orchard,1.30708,103.83465,Private room,181,90,0,,,2,179
4127,25707998,"3BR WITH OPEN TERRACE, SIMS AVENUE",156409670,Rajan,Central Region,Kallang,1.31115,103.87339,Entire home/apt,294,3,0,,,78,362
4131,25746140,New bto common room for rent at canberra crescent,24214608,Akmal,North Region,Sembawang,1.4466299999999999,103.83232,Private room,19,180,0,,,1,365
4137,25765385,"Large Queen Room , Facing Marina bay .Downtown MRT",32798595,Expats Housing Provider @ Raffles P,Central Region,Downtown Core,1.28035,103.85337,Private room,68,40,0,,,41,296
4138,25768720,test test,10303863,Shawn,North-East Region,Hougang,1.35626,103.89191,Private room,46,22,0,,,1,83
4148,25818992,♪1BR Near Mount Elizabeth Hospital (dm),31464513,Darcy,Central Region,Novena,1.32539,103.84523,Entire home/apt,144,10,0,,,114,365
4152,25860399,AweSome view! Ensuite 1+1 @ CBD/Chinatown,2413412,Kaurus,Central Region,Outram,1.28462,103.84352,Private room,65,90,0,,,112,356
4155,25876380,2BR Beside ST Engineering & Apple Ltd for Expats,9410772,Yangxiao,North-East Region,Ang Mo Kio,1.39095,103.84676,Entire home/apt,181,24,0,,,1,365
4159,25880519,"CLASSIC 1BR in VIVA VISTA, SINGAPORE",156409670,Rajan,Central Region,Queenstown,1.27999,103.78551999999999,Entire home/apt,235,3,0,,,78,364
4170,25927281,"MODERN 1-BR on NEWTON RD, SINGAPORE",138649185,Paridhi,Central Region,Novena,1.31655,103.84094,Entire home/apt,260,3,0,,,76,364
4171,25949294,Budget single room for student near NEAR NUS NUH,52310102,W3,Central Region,Queenstown,1.2795,103.78594,Private room,65,15,0,,,14,365
4172,25953543,Private Room [Kampong Glam] - for 2 pax,151316863,Cheryl,Central Region,Rochor,1.3019,103.85887,Private room,100,1,0,,,7,285
4173,25953564,Private Room [Kampong Glam] - for 6 pax,151316863,Cheryl,Central Region,Rochor,1.3026,103.86036,Private room,300,1,0,,,7,286
4174,25953736,"74 m² near orchard MRT,  2 bed W/D 1-bath",156409670,Rajan,Central Region,Tanglin,1.31123,103.82589,Entire home/apt,319,3,0,,,78,233
4183,25986560,Modern Master Bedroom - Near Chinatown,195325602,Alan,Central Region,Bukit Merah,1.28645,103.83346999999999,Private room,65,7,0,,,6,360
4189,26011461,"Private Room , Private Bathroom  Convenient place",195325602,Alan,Central Region,Bukit Merah,1.2861799999999999,103.83369,Private room,65,7,0,,,6,360
4190,26018504,Two condo rooms at same Luxury condo unit,9293170,Lee,West Region,Jurong West,1.34754,103.72343000000001,Private room,150,3,0,,,14,365
4192,26033895,My cosy room,24963905,Sandeep,Central Region,Rochor,1.3026,103.84936,Private room,49,11,0,,,3,319
4194,26052120,STROLL AWAY FROM FARRER PARK MRT,156409670,Rajan,Central Region,Rochor,1.3074299999999999,103.85032,Entire home/apt,153,30,0,,,78,364
4196,26054779,Heartland Living (Bedroom 1),49409188,Ian,North-East Region,Serangoon,1.3715600000000001,103.87465,Private room,40,180,0,,,2,365
